	WORD	CEFR	CLUE
700	filosofera	b1	['reason philosophically']
701	filosofi	c1	['any personal belief about how to live or how to deal with a situation', 'the rational investigation of questions about existence and knowledge and ethics']
702	filosofisk	c1	['of or relating to philosophy or philosophers']
703	fin	a1	['of textures that are smooth to the touch or substances consisting of relatively small particles']
704	final	b2	['an examination administered at the end of an academic term']
705	finanser	b2	['the management of money and credit and banking and investments']
706	finansiera	c1	['furnish money for']
707	finger	b2	['any of the terminal members of the hand (sometimes excepting the thumb)']
708	finslipa	c1	['improve or perfect by pruning or polishing']
709	fiol	b2	['bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow']
710	fira	b2	['behave as expected during of holidays or rites']
711	firande	b2	['any joyous diversion']
712	firma	a2	['the members of a business organization that owns or operates one or more establishments']
713	fisk	a2	['any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills', 'the flesh of fish used as food']
714	fiskare	b2	['someone whose occupation is catching fish']
715	fjäder	b1	['the light horny waterproof structure forming the external covering of birds', 'a metal elastic device that returns to its shape or position when pushed or pulled or pressed']
716	fjäll	a2	['a flattened rigid plate forming part of the body covering of many animals']
717	fjärdedel	c1	['one of four equal parts']
718	fjäril	b1	['a swimming stroke in which the arms are thrown forward together out of the water while the feet kick up and down', 'diurnal insect typically having a slender body with knobbed antennae and broad colorful wings']
719	flacka	b2	['move about aimlessly or without any destination, often in search of food or employment']
720	flagga	a2	['emblem usually consisting of a rectangular piece of cloth of distinctive design']
721	flaska	a2	['a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped']
722	flicka	b2	['a youthful female person']
723	flickvän	a1	['a girl or young woman with whom a man is romantically involved']
724	flina	c1	['to draw back the lips and reveal the teeth, in a smile, grimace, or snarl']
725	flit	b2	['persevering determination to perform a task']
726	flock	c1	['a group of sheep or goats', 'a group of hunting animals']
727	flod	b1	['a large natural stream of water (larger than a creek)']
728	fluga	c1	['two-winged insects characterized by active flight']
729	fly	b2	"[""flee; take to one's heels; cut and run""]"
730	flyg	b2	['a commercial enterprise that provides scheduled flights for passengers', 'the operation of aircraft to provide transportation']
731	flyga	b1	['travel through the air; be airborne', 'fly upwards or high in the sky']
732	flygare	b2	['someone who operates an aircraft']
733	flygning	b2	['a scheduled trip by plane between designated airports']
734	flygplan	a2	['a vehicle that can fly', 'an aircraft that has a fixed wing and is powered by propellers or jets']
735	flygplats	c1	['an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo']
736	flygvapen	a2	"[""the airborne branch of a country's armed forces""]"
737	flykt	c1	['the act of escaping physically']
738	flykting	b2	['an exile who flees for safety']
739	flyta	c1	['be afloat either on or below a liquid surface and not sink to the bottom']
740	fläck	c1	['a blemish made by dirt']
741	fogde	c1	['an officer of the court who is employed to execute writs and processes and make arrests etc.']
742	folk	c1	['(plural) any group of human beings (men or women or children) collectively', 'people in general (often used in the plural)', 'people in general considered as a whole']
743	folkmusik	a2	['the traditional and typically anonymous music that is an expression of the life of people in a community']
744	folkomröstning	c1	['a legislative act is referred for final approval to a popular vote by the electorate']
745	fond	a1	['a reserve of money set aside for some purpose']
746	fontän	c1	['a plumbing fixture that provides a flow of water']
747	fordon	c1	['a conveyance that transports people or objects']
748	form	c1	['a perceptual structure', 'good physical condition; being in shape or in condition']
749	forma	c1	['give shape or form to', 'make something, usually for a specific function', 'create a representation or model of']
750	formation	b2	['a particular spatial arrangement']
751	formel	c1	['(mathematics) a standard procedure for solving a class of mathematical problems', 'a conventionalized statement expressing some fundamental principle']
752	formell	b2	['being in accord with established forms and conventions and requirements (as e.g. of formal dress)', '(of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms']
753	formgivare	b1	['someone who designs clothing']
754	formulera	c1	['put into words or an expression']
755	formulering	c1	['the manner in which something is expressed in words; - G.S.Patton']
756	forskare	c1	['a scientist who devotes himself to doing research', 'a person with advanced knowledge of one or more sciences']
757	forskning	c1	['systematic investigation to establish facts', 'a search for knowledge']
758	forum	b2	['a public facility to meet for open discussion', 'a public meeting or assembly for open discussion']
759	fosfor	b1	['a synthetic substance that is fluorescent or phosphorescent; used to coat the screens of cathode ray tubes']
760	fossil	b2	['characteristic of a fossil', 'the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil']
761	fot	b2	['the part of the leg of a human being below the ankle joint', 'a linear unit of length equal to 12 inches or a third of a yard']
762	fotboll	a1	"[""any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal"", ""a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal""]"
763	fotgängare	c1	['a person who travels by foot']
764	foto	a1	['an informal photograph; usually made with a small hand-held camera']
765	fotograf	a1	['someone who takes photographs professionally']
766	fotografi	b1	['a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material']
767	frack	a2	['formalwear consisting of full evening dress for men']
768	frakta	c1	"[""move while supporting, either in a vehicle or in one's hands or on one's body""]"
769	framfart	c1	['violently angry and destructive behavior']
770	framgång	b1	['an event that accomplishes its intended purpose']
771	framhäva	c1	['make visible']
772	framkalla	c1	['call to mind']
773	framkallning	b1	['processing a photosensitive material in order to make an image visible']
774	framsida	b2	['the side that is seen or that goes first']
775	framsteg	b2	['gradual improvement or growth or development']
776	framtid	b2	['the time yet to come']
777	framträda	c1	['give a performance (of something)']
778	framträdande	b2	['(of angles) pointing outward at an angle of less than 180 degrees']
779	fred	b2	['the state prevailing during the absence of war']
780	fredlig	c1	['not disturbed by strife or turmoil or war']
781	fredstid	b1	['a period of time during which there is no war']
782	fresta	c1	['provoke someone to do something through (often false or exaggerated) promises or persuasion']
783	frestelse	b1	['the act of influencing by exciting hope or desire']
784	fri	c1	['able to act at will; not hampered; not under compulsion or restraint']
785	frid	b2	['the absence of mental stress or anxiety']
786	fridfull	b2	['not disturbed by strife or turmoil or war']
787	frihet	c1	['the condition of being free; the power to act or speak or think without externally imposed restraints', 'personal freedom from servitude or confinement or oppression']
788	frikänna	b1	['pronounce not guilty of criminal charges']
789	frimärke	a1	['a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid']
790	frisk	b1	['in good health especially after having suffered illness or injury']
791	fristående	a2	['used of buildings; standing apart from others']
792	frisyr	b2	['the style in which hair has been cut']
793	fritid	a1	['freedom to choose a pastime or enjoyable activity']
794	frivillig	b2	['of your own free will or design; done by choice; not forced or compelled', 'controlled by individual volition']
795	front	c1	['the line along which opposing armies face each other', '(meteorology) the atmospheric phenomenon created at the boundary between two different air masses']
796	frossa	b2	['a sensation of cold that often marks the start of an infection and the development of a fever']
797	fru	a2	"[""a married woman; a man's partner in marriage""]"
798	frukost	a1	['the first meal of the day (usually in the morning)']
799	frukt	a2	['the ripened reproductive body of a seed plant']
800	frukta	c1	['be afraid or scared of; be frightened of']
801	frusen	b2	['turned into ice; affected by freezing or by long and severe cold', 'not thawed']
802	frustration	c1	['a feeling of annoyance at being hindered or criticized', 'the feeling that accompanies an experience of being thwarted in attaining your goals']
803	frysa	b1	['be cold', 'change to ice']
804	fräck	c1	['improperly forward or bold']
805	fräken	b1	['a small brownish spot (of the pigment melanin) on the skin']
806	främre	b1	['relating to or located in the front']
807	fråga	a2	['inquire about', 'an important question that is in dispute and must be settled', 'an instance of questioning']
808	frågeställning	b2	['a question raised for consideration or solution']
809	frånvarande	c1	['not being in a specified place']
810	ful	c1	['displeasing to the senses', '(of a baseball) not hit between the foul lines']
811	full	b2	['containing as much or as many as is possible or normal']
812	fullborda	b2	['come or bring to a finish or an end']
813	fullmakt	c1	['a writ from a court commanding police to perform specified acts']
814	fullständig	c1	['having every necessary or normal part or component or step']
815	fundamental	c1	['pertaining to or constituting a base or basis']
816	fungera	b2	['be operating, running or functioning']
817	funktion	c1	['process or manner of functioning or operating', '(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)']
818	funktionell	c1	['designed for or capable of a particular function or use']
819	furste	c1	"[""a nation's ruler or head of state usually by hereditary right""]"
820	fylla	c1	['make full, also in a metaphorical sense', 'occupy the whole of']
821	fyrkantig	a2	['having four equal sides and four right angles or forming a right angle']
822	fysik	c1	['the science of matter and energy and their interactions']
823	fysisk	b2	['involving the body as distinguished from the mind or spirit']
824	fälla	c1	['find or declare guilty', 'a device in which something (usually an animal) can be caught and penned']
825	fält	b2	['a piece of land cleared of trees and usually enclosed']
826	fängelse	b1	['a correctional institution where persons are confined while on trial or for punishment']
827	fängsla	b2	['attract; cause to be enamored', 'cause to be interested or curious']
828	färdig	a2	['ended or brought to an end', 'completely prepared or in condition for immediate action or use or progress']
829	färdighet	c1	['an ability that has been acquired by training']
830	färdtjänst	b1	['people collectively who are crippled or otherwise physically handicapped']
831	färg	b1	"['a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating', ""the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation""]"
832	färgblind	b1	['unable to distinguish one or more chromatic colors']
833	färgstark	b2	['striking in variety and interest']
834	färja	b1	['transport by boat or aircraft', 'a boat that transports people or vehicles across a body of water and operates on a regular schedule']
835	färsk	b1	['recently made, produced, or harvested']
836	fästa	c1	['cause to be firmly attached']
837	fågel	b2	['warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings']
838	fågelsång	b2	['the characteristic sound produced by a bird']
839	fånga	b2	['capture as if by hunting, snaring, or trapping']
840	fånge	c1	['a person who is confined; especially a prisoner of war']
841	får	a2	['woolly usually horned ruminant mammal related to the goat']
842	fåtal	c1	['being or relating to the smaller in number of two parts']
843	fåtölj	a1	['chair with a support on each side for arms']
844	föda	b2	['any substance that can be metabolized by an animal to give energy and build tissue']
845	födelsedag	a2	['an anniversary of the day on which a person was born (or the celebration of it)', 'the date on which a person was born']
846	föl	c1	['a young horse']
847	följa	b2	['to travel behind, go after, come after']
848	följande	c1	['going or proceeding or coming after in the same direction']
849	följd	c1	['serial arrangement in which things follow in logical order or a recurrent pattern']
850	fönster	a1	['an opening in a wall or screen that admits light and air and through which customers can be served']
851	förakta	c1	['feel bitter or indignant about', 'look down on with disdain']
852	förare	c1	['the operator of a motor vehicle']
853	förbanna	b2	['wish harm upon; invoke evil upon']
854	förbinda	c1	['connect, fasten, or put together two or more pieces']
855	förbindelse	a2	['shifting from one form of transportation to another', 'a connection based on kinship or marriage or common interest']
856	förbise	c1	['look past, fail to notice']
857	förbjuda	b1	['command against', 'keep from happening or arising; make impossible']
858	förbättra	b2	['to make better']
859	förbättring	b2	['a condition superior to an earlier condition']
860	fördel	c1	['benefit resulting from some event or action', 'a slight competitive advantage']
861	fördom	c1	['a partiality that prevents objective consideration of an issue or situation']
862	fördubbla	b2	['increase twofold']
863	fördöma	c1	['speak out against']
864	förebild	b2	['a model considered worthy of imitation', 'someone worthy of imitation']
865	förebrå	c1	['express criticism towards']
866	föredra	c1	['promote over another']
867	föredrag	c1	['teaching by giving a discourse on some subject (typically to a class)', 'a speech that is open to the public']
868	föregå	c1	['be earlier in time; go back further']
869	förena	c1	['to bring or combine together or with something else']
870	förening	b1	['a formal organization of people or groups of people', '(chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight']
871	förenkla	b2	['make simpler or easier or reduce in complexity or extent']
872	föreslå	b1	['make a proposal, declare a plan for something']
873	föreståndare	b1	['someone who controls resources and expenditures']
874	företa	b2	['accept as a challenge']
875	företag	b1	['the activity of providing goods and services involving financial and commercial and industrial aspects']
876	företagare	c1	['someone who manages or has significant financial interest in an industrial enterprise']
877	företrädare	c1	['something that precedes and indicates the approach of something or someone', 'one who precedes you in time (as in holding a position or office)']
878	förfader	c1	['someone from whom you are descended (but usually more remote than a grandparent)']
879	förfalska	b1	['make a copy of with the intent to deceive']
880	författare	c1	['writes (books or stories or articles or the like) professionally (for pay)']
881	förfluten	c1	['earlier than the present time; no longer current']
882	förfölja	c1	['cause to suffer']
883	förgifta	b1	['administer poison to']
884	förgylla	b2	['decorate with, or as if with, gold leaf or liquid gold']
885	förhandla	b1	['negotiate the terms of an exchange']
886	förhandling	b1	['a discussion intended to produce an agreement']
887	förhindra	c1	['keep from happening or arising; make impossible']
888	förhoppning	c1	['the general feeling that some desire will be fulfilled']
889	förhållande	b2	['information that should be kept in mind when making a decision', 'the relative magnitudes of two quantities (usually expressed as a quotient)', 'the set of facts or circumstances that surround a situation or event']
890	förhöja	c1	['increase', 'make better or more attractive']
891	förkasta	c1	['dismiss from consideration or a contest']
892	förklara	c1	['make plain and comprehensible']
893	förklaring	c1	['the act of explaining; making something plain or intelligible']
894	förkorta	c1	['reduce in scope while retaining essential elements']
895	förlora	b2	['fail to win']
896	förlovning	b2	['a mutual promise to marry']
897	förlust	b2	['the amount by which the cost of a business exceeds its revenue', 'something that is lost', 'a loss entailed by giving up or selling something at less than its value']
898	förlänga	c1	['lengthen or extend in duration or space']
899	förmoda	c1	['take to be the case or to be true; accept without verification or proof']
900	förmåga	c1	['the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment']
901	förmögenhet	c1	['an unknown and unpredictable phenomenon that causes an event to result one way rather than another', 'an unknown and unpredictable phenomenon that leads to a favorable outcome', 'wealth in the form of money or property owned by a person or business and human resources of economic value', 'a large amount of wealth or prosperity']
902	förneka	b2	['declare untrue; contradict']
903	förorening	b1	['the act of contaminating or polluting; including (either intentionally or accidentally) unwanted substances or factors']
904	förort	c1	['a residential district located on the outskirts of a city']
905	förpliktelse	c1	['the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr']
906	förringa	c1	['represent as less significant or important']
907	förse	c1	['give something useful or necessary to']
908	försena	b2	['cause to be slowed down or delayed']
909	försiktig	b2	['exercising caution or showing care or attention']
910	försiktighet	c1	['judiciousness in avoiding harm or danger']
911	förskola	c1	['an educational institution for children too young for elementary school']
912	förskona	c1	['save or relieve from an experience or action']
913	förslag	b2	['the act of making a proposal', 'a proposal offered for acceptance or rejection']
914	förslå	c1	['be sufficient; be adequate, either in quality or quantity']
915	förspilla	c1	['spend thoughtlessly; throw away']
916	förstora	b2	['make large']
917	förstärka	b2	['strengthen and support with rewards']
918	förstå	c1	['perceive (an idea or situation) mentally']
919	förståelse	c1	['an inclination to support or be loyal to or to agree with an opinion']
920	förstånd	c1	['sound practical judgment']
921	förstöra	b2	['destroy the integrity of; usually by force; cause to separate into pieces or fragments', 'destroy completely']
922	försupen	b2	['characteristic of or containing alcohol']
923	försvara	c1	['protect against a challenge or attack', 'be the defense counsel for someone in a trial']
924	försvinna	c1	['get lost, as without warning or explanation']
925	försäkra	b1	['take out insurance for']
926	försäkran	b1	['a statement intended to inspire confidence']
927	försäkring	b1	['protection against future loss']
928	försäkringspremie	b1	['payment for insurance']
929	försäljare	b1	['a man salesperson', 'someone who promotes or exchanges goods or services for money']
930	försäljning	b1	['the exchange of goods for an agreed sum of money', 'the general activity of selling']
931	försämra	c1	['grow worse', 'grow worse', 'become worse or disintegrate']
932	försöka	b1	['make an effort or attempt']
933	försöksperson	b1	['a person who is subjected to experimental or other observational procedures; someone who is an object of investigation']
934	försörjning	c1	['the financial means whereby one lives']
935	förtvivlad	c1	['sad beyond comforting; incapable of being consoled']
936	förtvivlan	b2	['the feeling that everything is wrong and nothing will turn out well', 'a state in which all hope is lost or absent']
937	förtydliga	b2	['make clear by removing impurities or solids, as by heating', 'make clear and (more) comprehensible']
938	förutsättning	c1	['something that is required in advance']
939	förvalta	c1	['work in an administrative capacity; supervise or be in charge of']
940	förvaltning	b2	['the tenure of a president']
941	förvandla	b1	['change in outward structure or looks']
942	förvarna	b2	['warn in advance or beforehand; give an early warning']
943	förvirra	c1	['be confusing or perplexing to; cause to be unable to think clearly']
944	förvrängning	b2	['the mistake of misrepresenting the facts', 'an optical phenomenon resulting from the failure of a lens or mirror to produce a good image']
945	förvänta	c1	['consider obligatory; request and expect']
946	förväntan	b2	['an expectation', 'anticipating with confidence of fulfillment']
947	förvånad	c1	['taken unawares or suddenly and feeling wonder or astonishment']
948	förälder	c1	['an organism (plant or animal) from which younger ones are obtained', 'a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian']
949	gaffel	b2	['cutlery used for serving and eating food']
950	galax	b2	['(astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust']
951	gammal	b1	['(used especially of persons) having lived for a relatively long time or attained a specific age']
952	garage	a2	['an outbuilding (or part of a building) for housing automobiles', 'a repair shop where cars and trucks are serviced and repaired']
953	garantera	c1	['make certain of']
954	garanti	b2	['a written assurance that some product or service will be provided or will meet certain specifications']
955	garderob	a2	['collection of clothing belonging to one person']
956	gardin	a2	['hanging cloth used as a blind (especially for a window)']
957	gas	b2	['the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container']
958	gata	a1	['the part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel']
959	ge	c1	['give or supply']
960	gelé	c1	['any substance having the consistency of jelly or gelatin']
961	gemensam	c1	['united or combined', 'common to or shared by two or more parties']
962	gen	b2	['(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity']
963	general	b2	['a general officer of the highest rank']
964	generation	c1	['all the people living at the same time or of approximately the same age']
965	genetisk	c1	['of or relating to the science of genetics']
966	genomskinlig	c1	['so thin as to transmit light']
967	gentleman	b2	['a man of refinement', 'a manservant who acts as a personal attendant to his employer']
968	geografi	b1	"[""study of the earth's surface; includes people's responses to topography and climate and soil and vegetation""]"
969	geologisk	c1	['of or relating to or based on geology']
970	geometri	b2	['the pure mathematics of points and lines and curves and surfaces']
971	gerilla	b2	['a member of an irregular armed force that fights a stronger force by sabotage and harassment']
972	gest	c1	['motion of hands or body to emphasize or help to express a thought or feeling']
973	get	a2	['any of numerous agile ruminants related to sheep but having a beard and straight horns', 'a victim of ridicule or pranks']
974	geting	b1	['social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting']
975	gevär	a2	['a shoulder firearm with a long barrel and a rifled bore']
976	gift	a1	['joined in matrimony', 'of or relating to the state of marriage', 'anything that harms or destroys', 'any substance that causes injury or illness or death of a living organism']
977	giftig	b1	['marked by deep ill will; deliberately harmful', 'of or relating to or caused by a toxin or poison']
978	gilla	a1	['be fond of']
979	giraff	c1	['tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa']
980	gissa	c1	['put forward, of a guess, in spite of possible refutation']
981	gitarr	a1	['a stringed instrument usually having six strings; played by strumming or plucking']
982	glaciär	b2	['a slowly moving mass of ice']
983	glad	b1	['showing or causing joy and pleasure; especially made happy']
984	glas	b1	['a container for holding liquids while drinking', 'a brittle transparent solid with irregular atomic structure']
985	glasbruk	a2	['a workplace where glass is made']
986	glass	a2	['frozen dessert containing cream and sugar and flavoring']
987	glida	c1	['to pass or move unobtrusively or smoothly']
988	global	c1	['of worldwide scope or applicability; ; - Christopher Morley']
989	glosa	c1	['a word that is spoken aloud']
990	glädje	b2	['something or someone that provides a source of happiness', 'the emotion of great happiness']
991	glänta	c1	['a tract of land with few or no trees in the middle of a wooded area']
992	glåpord	b2	['showing your contempt by derision']
993	glöda	b2	['emit a steady even light without flames']
994	glömma	b2	['be unable to remember']
995	gnugga	c1	['move over something with pressure']
996	gny	a2	['cry weakly or softly']
997	god	a2	['of moral excellence', 'pleasing to the sense of taste']
998	godhet	a2	['moral excellence or admirableness']
999	godkänd	c1	['success in satisfying a test or requirement']
1000	godkänna	b2	['give sanction to', 'grant credentials to']
1001	gods	b2	['extensive landed property (especially in the country) retained by the owner for his own use']
1002	golf	a2	['a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes']
1003	golv	a1	['the inside lower horizontal surface (as of a room, hallway, tent, or other structure)']
1004	grad	a1	['a position on a scale of intensity or amount or quality', 'the seriousness of something (e.g., a burn or crime)', 'a unit of temperature on a specified scale']
1005	grafisk	b1	['evoking lifelike images within the mind']
1006	gram	a2	['a metric unit of weight equal to one thousandth of a kilogram']
1007	grammatik	c1	['the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics)']
1008	grammofon	a2	['an antique record player; the sound of the vibrating needle is amplified acoustically']
1009	granne	b1	['a person who lives (or is located) near another']
1010	granska	c1	['examine methodically']
1011	gratis	a2	['costing nothing']
1012	gratulera	a2	['express congratulations']
1013	grav	b1	['a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)']
1014	gravid	c1	['carrying developing offspring within the body or being about to produce new life']
1015	gravitation	b1	"[""(physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface; ; ; --Albert Einstein""]"
1016	gren	c1	['a division of a stem, or secondary stem arising from the main stem of a plant']
1017	grepp	b2	['an intellectual hold or understanding']
1018	grind	b2	['a movable barrier in a fence or wall']
1019	gripa	b1	['take hold of; grab']
1020	gris	b2	['domestic swine', 'a coarse obnoxious person']
1021	gro	a2	['produce buds, branches, or germinate']
1022	groda	b2	['any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species']
1023	grotesk	c1	['distorted and unnatural in shape or size; abnormal and hideous']
1024	grotta	b1	['a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea']
1025	grund	b1	['lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center', 'not deep or strong; not affecting one deeply', 'lacking depth of intellect or knowledge; concerned only with what is obvious', 'a flat bottom on which something is intended to sit', 'the basis on which something is grounded']
1026	grundlag	b1	['law determining the fundamental political principles of a government']
1027	grundämne	b1	['any of the more than 100 known substances (of which 92 occur naturally) that cannot be separated into simpler substances and that singly or in combination constitute all matter']
1028	grus	b2	['rock fragments and pebbles']
1029	grym	b1	['(of persons or their actions) able or disposed to inflict pain or suffering']
1030	grymta	c1	['issue a grunting, low, animal-like noise']
1031	gryning	c1	['the first light of day']
1032	grädde	b1	['the part of milk containing the butterfat']
1033	gräl	b2	['an angry dispute']
1034	gräns	c1	['a line that indicates a boundary']
1035	gränsa	b2	['lie adjacent to another or share a boundary']
1036	gräs	b2	['street names for marijuana', 'narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay']
1037	gräslök	b2	['perennial having hollow cylindrical leaves used for seasoning']
1038	gräsmatta	b2	['a field of cultivated and mowed grass']
1039	gräva	b1	['turn up, loosen, or remove earth']
1040	grävling	b2	['sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere']
1041	gråt	a2	['the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)']
1042	gråta	a2	['shed tears because of sadness, rage, or pain']
1043	grön	a2	['green color or pigment; resembling the color of growing grass']
1044	grönsak	a2	['edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant', 'any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower']
1045	grönska	b2	['turn or become green']
1046	gröt	a2	['soft food made by boiling oatmeal or other meal or legumes in water or milk until thick']
1047	gud	b1	['any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force']
1048	gudinna	c1	['a female deity']
1049	gudstjänst	c1	['the act of public worship following prescribed rules']
1050	guide	a2	['something that offers basic information or instruction', 'someone who shows the way by leading or advising']
1051	gul	a2	['of a medium to dark brownish yellow color']
1052	guld	b2	['a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia']
1053	gullig	b1	['attractive especially by means of smallness or prettiness or quaintness']
1054	gulna	b2	['turn yellow']
1055	gunga	b1	['changing location by moving back and forth', 'mechanical device used as a plaything to support someone swinging back and forth']
1056	gurka	a2	['cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons', 'a melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit']
1057	gymnastik	b1	['a sport that involves exercises intended to display strength and balance and agility']
1058	gärningsman	c1	['a person who transgresses moral or civil law']
1059	gäspa	a2	['utter a yawn, as from lack of oxygen or when one is tired', 'be wide open']
1060	gäst	a2	['a visitor to whom hospitality is extended']
1061	gå	a1	"['change location; move, travel, or proceed, also metaphorically', ""use one's feet to advance; advance by steps""]"
1062	gång	b1	['part of a church divided laterally from the nave proper by rows of pillars or columns']
1063	gård	b2	['the enclosed land around a house or other building']
1064	gåta	c1	['something that baffles understanding and cannot be explained']
1065	gåva	b2	['something acquired without compensation', 'something presented as a gift']
1066	gömma	c1	['be or go into hiding; keep out of sight, as for protection and safety']
1067	ha	a2	['have or possess, either in a concrete or an abstract sense']
1068	hacka	b2	['cut into pieces']
1069	haka	a2	['the protruding part of the lower jaw']
1070	halka	c1	['move obliquely or sideways, usually in an uncontrolled manner']
1071	hall	a2	['a large room for gatherings or entertainment', 'an interior passage or corridor onto which rooms open']
1072	halm	c1	['material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds']
1073	hals	a2	['the part of an organism (human or animal) that connects the head to the rest of the body']
1074	halsband	c1	['a necklace made by a stringing objects together', 'jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)']
1075	halshugga	b2	['cut the head of']
1076	halv	a1	['(of siblings) related through one parent only']
1077	halva	b2	['one of two equal parts of a divisible whole']
1078	halvera	c1	['divide by two; divide into halves']
1079	halvsyster	a2	['a sister who has only one parent in common with you']
1080	halvtimme	a2	['a half of an hour']
1081	halvö	a2	['a large mass of land projecting into a body of water']
1082	hammare	b2	['a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking']
1083	hamn	c1	['a sheltered port where ships can take on or discharge cargo']
1084	hand	b2	['the (prehensile) extremity of the superior limb', 'the cards held in a card game by a given player at any given time']
1085	handbok	c1	['a concise reference book providing specific information about a subject or location']
1086	handduk	a2	['a rectangular piece of absorbent cloth (or paper) for drying or wiping']
1087	handel	b2	['transactions (sales and purchases) having the objective of supplying commodities (goods and services)', 'a particular instance of buying or selling']
1088	handfat	c1	['a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face']
1089	handgjord	b1	['made by hand or a hand process']
1090	handikapp	c1	['the condition of being unable to perform as a consequence of physical or mental unfitness']
1091	handla	a1	['an equal exchange', 'buying and selling; especially illicit trade']
1092	handled	b2	['a joint between the distal end of the radius and the proximal row of carpal bones']
1093	handledare	b2	['a person who gives private instruction (as in singing, acting, etc.)', 'one who supervises or has charge and direction of']
1094	handske	b2	['handwear: covers the hand and wrist']
1095	handtag	c1	['physical assistance']
1096	handväska	b1	['a container used for carrying money and small personal items or accessories (especially by women)']
1097	hantera	c1	['handle and cause to function']
1098	hantverk	c1	['skill in an occupation or trade']
1099	hantverkare	c1	['a skilled worker who practices some trade or handicraft']
1100	harm	c1	['a feeling of deep and bitter anger and ill-will']
1101	harmoni	c1	['compatibility in opinion and action', 'the structure of music with respect to the composition and progression of chords']
1102	hastighet	b2	['distance travelled per unit time']
1103	hat	c1	['the emotion of intense dislike; a feeling of dislike so strong that it demands action']
1104	hata	a2	['dislike intensely; feel antipathy or aversion towards']
1105	hatt	b2	['headdress that protects the head from bad weather; has shaped crown and usually a brim']
1106	hav	a2	['anything apparently limitless in quantity or volume']
1107	haveri	b1	['a cessation of normal operation']
1108	hedning	b2	['a person who does not acknowledge your god']
1109	hektar	a2	"[""(abbreviated `ha') a unit of surface area equal to 100 ares (or 10,000 square meters)""]"
1110	hekto	a2	['100 grams']
1111	hel	b2	['including all components without exception; being one unit or constituting the full amount or extent or duration; complete']
1112	helgdag	a2	['a day on which work is suspended by law or custom']
